Variant number: 65,  Outcomes: White win: 32%,  Draw: 37%,  Black win: 31%,  Move 5 Entropy: 9.4,  Move 10 Entropy: 13.7,  Move 20 Entropy: 23.1
Variant number: 66,  Outcomes: White win: 28%,  Draw: 49%,  Black win: 23%,  Move 5 Entropy: 9.9,  Move 10 Entropy: 14.2,  Move 20 Entropy: 26.4
Variant number: 67,  Outcomes: White win: 29%,  Draw: 50%,  Black win: 21%,  Move 5 Entropy: 10.3,  Move 10 Entropy: 15.1,  Move 20 Entropy: 21.4
Variant number: 68,  Outcomes: White win: 29%,  Draw: 43%,  Black win: 29%,  Move 5 Entropy: 10.3,  Move 10 Entropy: 14.8,  Move 20 Entropy: 23.0
Variant number: 69,  Outcomes: White win: 31%,  Draw: 38%,  Black win: 31%,  Move 5 Entropy: 8.6,  Move 10 Entropy: 12.1,  Move 20 Entropy: 22.9
Variant number: 70,  Outcomes: White win: 33%,  Draw: 45%,  Black win: 22%,  Move 5 Entropy: 7.7,  Move 10 Entropy: 8.6,  Move 20 Entropy: 20.3
Variant number: 71,  Outcomes: White win: 32%,  Draw: 49%,  Black win: 19%,  Move 5 Entropy: 10.6,  Move 10 Entropy: 13.7,  Move 20 Entropy: 20.4
Variant number: 72,  Outcomes: White win: 36%,  Draw: 38%,  Black win: 26%,  Move 5 Entropy: 6.9,  Move 10 Entropy: 11.8,  Move 20 Entropy: 15.6
Variant number: 73,  Outcomes: White win: 34%,  Draw: 36%,  Black win: 30%,  Move 5 Entropy: 9.5,  Move 10 Entropy: 13.2,  Move 20 Entropy: 22.4
Variant number: 74,  Outcomes: White win: 29%,  Draw: 50%,  Black win: 21%,  Move 5 Entropy: 6.8,  Move 10 Entropy: 11.2,  Move 20 Entropy: 19.6
Variant number: 75,  Outcomes: White win: 30%,  Draw: 49%,  Black win: 21%,  Move 5 Entropy: 9.8,  Move 10 Entropy: 12.0,  Move 20 Entropy: 20.4
Variant number: 76,  Outcomes: White win: 28%,  Draw: 50%,  Black win: 21%,  Move 5 Entropy: 9.7,  Move 10 Entropy: 12.3,  Move 20 Entropy: 21.5
Variant number: 77,  Outcomes: White win: 31%,  Draw: 48%,  Black win: 21%,  Move 5 Entropy: 8.4,  Move 10 Entropy: 11.2,  Move 20 Entropy: 22.1
Variant number: 78,  Outcomes: White win: 26%,  Draw: 52%,  Black win: 22%,  Move 5 Entropy: 8.7,  Move 10 Entropy: 13.6,  Move 20 Entropy: 21.0
Variant number: 79,  Outcomes: White win: 31%,  Draw: 46%,  Black win: 23%,  Move 5 Entropy: 7.4,  Move 10 Entropy: 10.8,  Move 20 Entropy: 17.4
Variant number: 80,  Outcomes: White win: 36%,  Draw: 42%,  Black win: 21%,  Move 5 Entropy: 6.2,  Move 10 Entropy: 12.0,  Move 20 Entropy: 21.2
Variant number: 81,  Outcomes: White win: 36%,  Draw: 41%,  Black win: 24%,  Move 5 Entropy: 9.1,  Move 10 Entropy: 14.2,  Move 20 Entropy: 22.4
Variant number: 82,  Outcomes: White win: 31%,  Draw: 45%,  Black win: 24%,  Move 5 Entropy: 8.5,  Move 10 Entropy: 11.1,  Move 20 Entropy: 22.4
Variant number: 83,  Outcomes: White win: 31%,  Draw: 51%,  Black win: 17%,  Move 5 Entropy: 7.9,  Move 10 Entropy: 9.7,  Move 20 Entropy: 18.1
Variant number: 84,  Outcomes: White win: 28%,  Draw: 50%,  Black win: 22%,  Move 5 Entropy: 10.2,  Move 10 Entropy: 14.5,  Move 20 Entropy: 21.7
Variant number: 85,  Outcomes: White win: 26%,  Draw: 47%,  Black win: 27%,  Move 5 Entropy: 10.2,  Move 10 Entropy: 11.4,  Move 20 Entropy: 18.9
Variant number: 86,  Outcomes: White win: 29%,  Draw: 48%,  Black win: 23%,  Move 5 Entropy: 9.1,  Move 10 Entropy: 13.8,  Move 20 Entropy: 18.4
Variant number: 87,  Outcomes: White win: 30%,  Draw: 45%,  Black win: 25%,  Move 5 Entropy: 8.8,  Move 10 Entropy: 11.4,  Move 20 Entropy: 18.6
Variant number: 88,  Outcomes: White win: 30%,  Draw: 44%,  Black win: 26%,  Move 5 Entropy: 6.4,  Move 10 Entropy: 11.0,  Move 20 Entropy: 18.5
Variant number: 89,  Outcomes: White win: 32%,  Draw: 47%,  Black win: 21%,  Move 5 Entropy: 6.8,  Move 10 Entropy: 11.1,  Move 20 Entropy: 19.2
Variant number: 90,  Outcomes: White win: 31%,  Draw: 49%,  Black win: 21%,  Move 5 Entropy: 10.4,  Move 10 Entropy: 9.0,  Move 20 Entropy: 21.4
Variant number: 91,  Outcomes: White win: 30%,  Draw: 48%,  Black win: 22%,  Move 5 Entropy: 6.8,  Move 10 Entropy: 6.6,  Move 20 Entropy: 16.6
Variant number: 92,  Outcomes: White win: 31%,  Draw: 47%,  Black win: 22%,  Move 5 Entropy: 8.7,  Move 10 Entropy: 15.0,  Move 20 Entropy: 21.5
Variant number: 93,  Outcomes: White win: 34%,  Draw: 45%,  Black win: 21%,  Move 5 Entropy: 7.8,  Move 10 Entropy: 12.1,  Move 20 Entropy: 19.0
Variant number: 94,  Outcomes: White win: 31%,  Draw: 51%,  Black win: 18%,  Move 5 Entropy: 10.3,  Move 10 Entropy: 13.4,  Move 20 Entropy: 18.0
Variant number: 95,  Outcomes: White win: 35%,  Draw: 47%,  Black win: 17%,  Move 5 Entropy: 8.5,  Move 10 Entropy: 10.6,  Move 20 Entropy: 21.7
Variant number: 96,  Outcomes: White win: 36%,  Draw: 42%,  Black win: 22%,  Move 5 Entropy: 6.9,  Move 10 Entropy: 12.0,  Move 20 Entropy: 17.5
Variant number: 97,  Outcomes: White win: 31%,  Draw: 44%,  Black win: 25%,  Move 5 Entropy: 9.9,  Move 10 Entropy: 12.8,  Move 20 Entropy: 18.1
Variant number: 98,  Outcomes: White win: 30%,  Draw: 44%,  Black win: 25%,  Move 5 Entropy: 10.6,  Move 10 Entropy: 14.5,  Move 20 Entropy: 23.8
Variant number: 99,  Outcomes: White win: 24%,  Draw: 54%,  Black win: 22%,  Move 5 Entropy: 10.6,  Move 10 Entropy: 14.3,  Move 20 Entropy: 23.1
Variant number: 100,  Outcomes: White win: 32%,  Draw: 43%,  Black win: 25%,  Move 5 Entropy: 8.4,  Move 10 Entropy: 11.6,  Move 20 Entropy: 19.9
Variant number: 101,  Outcomes: White win: 28%,  Draw: 48%,  Black win: 24%,  Move 5 Entropy: 10.0,  Move 10 Entropy: 15.9,  Move 20 Entropy: 26.4
Variant number: 102,  Outcomes: White win: 24%,  Draw: 52%,  Black win: 23%,  Move 5 Entropy: 10.5,  Move 10 Entropy: 13.0,  Move 20 Entropy: 27.2
Variant number: 103,  Outcomes: White win: 29%,  Draw: 47%,  Black win: 24%,  Move 5 Entropy: 9.7,  Move 10 Entropy: 13.4,  Move 20 Entropy: 16.5
Variant number: 104,  Outcomes: White win: 33%,  Draw: 49%,  Black win: 18%,  Move 5 Entropy: 9.8,  Move 10 Entropy: 11.6,  Move 20 Entropy: 24.0
Variant number: 105,  Outcomes: White win: 29%,  Draw: 51%,  Black win: 21%,  Move 5 Entropy: 9.1,  Move 10 Entropy: 15.8,  Move 20 Entropy: 21.7
Variant number: 106,  Outcomes: White win: 25%,  Draw: 52%,  Black win: 23%,  Move 5 Entropy: 10.1,  Move 10 Entropy: 13.0,  Move 20 Entropy: 24.2
Variant number: 107,  Outcomes: White win: 30%,  Draw: 51%,  Black win: 19%,  Move 5 Entropy: 8.4,  Move 10 Entropy: 12.0,  Move 20 Entropy: 23.6
Variant number: 108,  Outcomes: White win: 34%,  Draw: 43%,  Black win: 23%,  Move 5 Entropy: 10.2,  Move 10 Entropy: 16.2,  Move 20 Entropy: 25.2
Variant number: 109,  Outcomes: White win: 28%,  Draw: 46%,  Black win: 27%,  Move 5 Entropy: 12.0,  Move 10 Entropy: 14.8,  Move 20 Entropy: 23.3
Variant number: 110,  Outcomes: White win: 31%,  Draw: 49%,  Black win: 20%,  Move 5 Entropy: 9.8,  Move 10 Entropy: 11.3,  Move 20 Entropy: 25.8
Variant number: 111,  Outcomes: White win: 31%,  Draw: 44%,  Black win: 25%,  Move 5 Entropy: 8.4,  Move 10 Entropy: 13.1,  Move 20 Entropy: 16.2
Variant number: 112,  Outcomes: White win: 28%,  Draw: 48%,  Black win: 24%,  Move 5 Entropy: 8.6,  Move 10 Entropy: 9.1,  Move 20 Entropy: 20.9
Variant number: 113,  Outcomes: White win: 33%,  Draw: 47%,  Black win: 20%,  Move 5 Entropy: 6.2,  Move 10 Entropy: 11.8,  Move 20 Entropy: 20.4
Variant number: 114,  Outcomes: White win: 28%,  Draw: 52%,  Black win: 20%,  Move 5 Entropy: 11.8,  Move 10 Entropy: 17.0,  Move 20 Entropy: 28.6
Variant number: 115,  Outcomes: White win: 25%,  Draw: 52%,  Black win: 23%,  Move 5 Entropy: 11.0,  Move 10 Entropy: 16.0,  Move 20 Entropy: 24.9
Variant number: 116,  Outcomes: White win: 27%,  Draw: 49%,  Black win: 24%,  Move 5 Entropy: 8.6,  Move 10 Entropy: 9.0,  Move 20 Entropy: 20.4
